id,real,prediccion,metrica,k
0,1,1,Manhattan,1
1,2,2,Manhattan,1
2,2,2,Manhattan,1
3,1,1,Manhattan,1
4,0,0,Manhattan,1
5,2,2,Manhattan,1
6,0,0,Manhattan,1
7,1,1,Manhattan,1
8,0,0,Manhattan,1
9,1,1,Manhattan,1
10,2,2,Manhattan,1
11,0,0,Manhattan,1
12,2,2,Manhattan,1
13,2,2,Manhattan,1
14,2,2,Manhattan,1
15,1,1,Manhattan,1
16,0,0,Manhattan,1
17,1,1,Manhattan,1
18,2,2,Manhattan,1
19,1,1,Manhattan,1
20,0,0,Manhattan,1
21,0,0,Manhattan,1
22,1,1,Manhattan,1
23,2,2,Manhattan,1
24,2,2,Manhattan,1
25,1,1,Manhattan,1
26,0,0,Manhattan,1
27,1,1,Manhattan,1
28,2,2,Manhattan,1
29,1,1,Manhattan,1
