X,Y_real,Y_predicho
-1.327961,5.600000,5.667550
0.517853,6.300000,7.020568
-0.405054,7.300000,6.787517
-1.558687,4.900000,5.431315
1.210034,4.600000,4.981331
-0.635780,7.400000,6.710415
1.671487,5.100000,5.237056
-0.866507,5.600000,5.880769
0.056400,4.800000,4.946936
-0.174327,5.700000,5.983151
-0.405054,6.300000,6.585877
-0.174327,4.300000,4.739507
0.056400,6.400000,6.639963
0.517853,6.700000,6.846331
-0.635780,6.200000,6.313986
0.287127,7.000000,6.253981
0.748580,4.800000,5.157691
-1.789414,5.000000,5.389870
-1.097234,7.700000,6.945789
-1.327961,5.100000,5.408299
-0.174327,4.900000,4.847879
0.287127,5.000000,4.873159
-2.020141,6.000000,5.550064
0.287127,6.900000,6.848795
0.056400,6.700000,6.800499
-0.635780,6.100000,6.044288
1.440760,5.100000,5.210715
-2.481594,5.000000,5.323144
-0.174327,6.000000,6.396877
-0.405054,5.700000,5.963660
