X,Y_real,Y_predicho
0.751627,5.400000,5.103559
-1.016907,6.100000,6.327740
-0.132640,6.500000,6.705005
-0.132640,7.600000,6.923337
0.972694,5.200000,5.087505
-0.353707,5.600000,5.748897
0.309494,4.400000,4.899112
-0.353707,4.400000,4.799427
-0.132640,5.600000,5.939829
-0.574774,7.700000,6.848514
0.309494,6.400000,6.180723
0.309494,7.200000,6.777420
1.635895,5.100000,5.234982
0.751627,5.000000,5.044420
-0.132640,6.700000,6.278847
0.972694,5.100000,5.076159
0.751627,4.600000,5.033074
0.530560,6.300000,6.948068
0.309494,7.000000,6.221638
-0.132640,6.700000,6.545812
0.088427,6.900000,6.559327
0.530560,5.000000,4.971766
-1.901175,6.000000,5.996208
-1.237974,6.300000,5.997408
0.751627,4.800000,5.073989
-0.574774,6.100000,6.012853
-0.795841,5.800000,6.314095
1.193761,4.900000,5.082797
1.635895,5.700000,5.294121
1.414828,5.100000,5.210121
